The New Climate War,By Michael Mann,https://scribepublications.com.au/books-authors/books/the-new-climate-war-9781922310651,hub_climate_war
Supercharge Me: Net Zero Faster,By Eric Lonergan and Corinne Sawers,https://www.amazon.ca/Supercharge-Me-Net-Zero-Faster/dp/1788215192,hub_supercharge
Under A White Sky,By Elizabeth Kolbert,https://www.amazon.ca/Under-White-Sky-Nature-Future/dp/0593136276,hub_white_sky
Half-Earth: Our Planet\’s Fight for Life,By Edward O. Wilson,https://www.amazon.ca/Half-Earth-Our-Planets-Fight-Life/dp/1631492527,hub_half_earth
The Uninhabitable Earth,By David Wallace-Wells,https://www.amazon.ca/Uninhabitable-Earth-Life-After-Warming/dp/0525576703,hub_uninhabitable
